geography,fit.cluster,social_ind,emp_ind,econ_ind,career_ind,quality_ind,sum,sum_score
"New York-Newark-Jersey City, NY-NJ-PA",2,1,0.831298763,0.759165133,1,0.92188966,4.512353556,100
"Los Angeles-Long Beach-Anaheim, CA",2,0.768477904,0.838491934,0.628007057,0.713997607,0.945790498,3.894765,86.31338284
"San Francisco-Oakland-Hayward, CA",5,0.518783003,0.855556322,0.888645327,0.607029885,1,3.870014537,85.76487833
"Washington-Arlington-Alexandria, DC-VA-MD-WV",5,0.589503587,0.899847174,0.829487688,0.647458477,0.893104807,3.859401733,85.5296839
"San Jose-Sunnyvale-Santa Clara, CA",3,0.434400673,0.855089513,1,0.550037586,1,3.839527772,85.08924942
"Boston-Cambridge-Newton, MA-NH",5,0.53149106,0.912458203,0.829494533,0.594086327,0.917507139,3.785037262,83.8816643
"Chicago-Naperville-Elgin, IL-IN-WI",5,0.660702611,0.882131407,0.668797441,0.645403848,0.902608047,3.759643354,83.31890016
"Seattle-Tacoma-Bellevue, WA",5,0.492956385,0.882992491,0.775880891,0.526504537,0.929403898,3.607738202,79.95247175
"Dallas-Fort Worth-Arlington, TX",5,0.580143443,0.909749273,0.654536976,0.552722417,0.878348644,3.575500753,79.23804526
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5,0.544322727,0.862380353,0.696077455,0.574105478,0.879711253,3.556597266,78.81911783
"Houston-The Woodlands-Sugar Land, TX",5,0.5684842,0.880646955,0.689836499,0.533709247,0.868187885,3.540864786,78.47046429
"Minneapolis-St. Paul-Bloomington, MN-WI",5,0.477634987,0.973763171,0.697090273,0.507573456,0.884133344,3.540195231,78.45562603
"Denver-Aurora-Lakewood, CO",3,0.462428696,0.943880922,0.689311301,0.476169042,0.924732334,3.496522295,77.48777332
"Baltimore-Columbia-Towson, MD",3,0.450051327,0.892967125,0.702773535,0.504566852,0.893104807,3.443463646,76.31192023
"Anchorage, AK",3,0.440781965,0.889218289,0.744922842,0.429807902,0.908720696,3.413451694,75.64681383
"Boulder, CO",3,0.426428789,0.896045193,0.753844426,0.411038338,0.924732334,3.41208908,75.61661642
"Atlanta-Sandy Springs-Roswell, GA",5,0.540255988,0.852872528,0.597231782,0.518259938,0.889394267,3.398014503,75.30470432
"Hartford-West Hartford-East Hartford, CT",3,0.377982806,0.904666799,0.749991785,0.478775064,0.885521935,3.396938389,75.28085614
"Madison, WI",4,0.423370425,0.970089742,0.668244454,0.397695215,0.919103564,3.3785034,74.87231127
"Portland-Vancouver-Hillsboro, OR-WA",4,0.427937807,0.88588599,0.655766467,0.448476452,0.919594889,3.337661605,73.96720057
"Santa Maria-Santa Barbara, CA",3,0.44094244,0.866006383,0.59768953,0.404459539,0.999315768,3.30841366,73.31902562
"Austin-Round Rock, TX",4,0.473360589,0.8923969,0.617249291,0.414452521,0.903228341,3.300687642,73.14780637
